id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
21052414,https://www.airbnb.com/rooms/21052414,20251005230129,2025-10-05,city scrape,Cozy bedroom with (2) walk-in closets,"Relax in our cozy home on a quiet one-way street. Plenty of free street parking available.<br />With a large dining and living room, fully stocked kitchen, and furnished private room, our home is the perfect affordable stay for working professionals, students, and people in-between housing.<br /><br /><br />Newly furnished and renovated in 2017.<br />Minutes from major universities and hospitals.<br />Entire home is 3 bed 1 bath (you have a private bedroom with door lock).<br />CDTA Bus stop 1 block away.",,https://a0.muscache.com/pictures/b19e27d4-4a6e-43a7-add8-4a493d854c69.jpg,135717458,https://www.airbnb.com/users/show/135717458,Chad,2017-06-18,"Gloversville, NY","",within an hour,100%,90%,t,https://a0.muscache.com/im/pictures/user/d6bee956-7782-4538-a6a1-ec4d4931841e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d6bee956-7782-4538-a6a1-ec4d4931841e.jpg?aki_policy=profile_x_medium,,13,15,['phone'],t,t,,THIRTEENTH WARD,,42.66565,-73.77975,Private room in home,Private room,2,1.0,1 shared bath,1,1,"[""Bathtub"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Coffee maker: drip coffee maker"", ""Dishwasher"", ""TV with Roku"", ""Shared patio or balcony"", ""Outdoor furniture"", ""Clothing storage: walk-in closet"", ""Cooking basics"", ""Essentials"", ""Keypad"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Microwave"", ""Kitchen"", ""Wifi"", ""Dining table"", ""Self check-in"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Central heating"", ""Baking sheet"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Free dryer \u2013 In unit"", ""Toaster"", ""Laundromat nearby"", ""Window AC unit"", ""First aid kit"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Radiant heating"", ""Fire extinguisher"", ""Freezer"", ""Blender"", ""Free street parking"", ""Iron"", ""Backyard"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed""]",$43.00,18,1125,18,18,1125,1125,18.0,1125.0,,t,0,25,55,330,2025-10-05,47,5,0,53,3,180,7740,2018-06-30,2025-08-31,4.79,4.85,4.72,4.98,4.96,4.66,4.68,,t,3,0,3,0,0.53
21392315,https://www.airbnb.com/rooms/21392315,20251005230129,2025-10-06,city scrape,The Blair Suite,"A cozy private apartment. The Blair Suite, named after the original owner of this beautiful 1890's Victorian, is located on the basement floor. It has it's own private entrance on the side of the home. Located in historic Albany, close to everything, hospitals, schools, museums, restaurants and Washington Park.","Here is a list of the top 10 things to do in Albany, all within minutes from The Blair Suite.   New York State Museum, USS Slater DE-766, Washington Park,Governor Nelson A. Rockefeller Empire State Plaza, Times Union Center, Albany Institute of History & Art, New York State Capitol, Dutch Apple Cruises, Palace Theatre, Albany Visitors Center,",https://a0.muscache.com/pictures/fd849090-1271-4243-abfb-f07273259981.jpg,98744672,https://www.airbnb.com/users/show/98744672,Bela,2016-10-08,"Albany, NY","My name is Bela Schuch, I am manager of The Inn at South Lake  here in Albany , we hope you enjoy your stay with us at the Inn Thank you !",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_x_medium,Pine Hills,8,8,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,NINTH WARD,,42.65372,-73.78244,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Coffee maker: Keurig coffee machine"", ""Heating"", ""Private entrance"", ""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Refrigerator"", ""Portable fans"", ""Paid washer \u2013 In building"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Private backyard \u2013 Fully fenced"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Ethernet connection"", ""Self check-in"", ""TV with standard cable"", ""Cleaning products"", ""Baking sheet"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Conditioner"", ""Toaster"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Hangers"", ""Smoke alarm"", ""Free parking on premises"", ""Stove"", ""Outdoor dining area"", ""Fire extinguisher"", ""Freezer"", ""Clothing storage: closet and dresser"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Portable air conditioning""]",$60.00,2,730,2,2,730,730,2.0,730.0,,t,7,30,60,272,2025-10-06,136,14,3,57,17,84,5040,2017-11-20,2025-09-28,4.85,4.89,4.84,4.91,4.93,4.88,4.83,,f,8,2,6,0,1.42
21449583,https://www.airbnb.com/rooms/21449583,20251005230129,2025-10-06,city scrape,/zBig Blue Ranch\ 1962 SUNY Eagle Hill 4Beds 2Bath,"Lovely Ranch home nestled on a quiet street near the SUNY campus. This home has a detached garage, porch and patio.  There's central air, new dishwasher, 55"" 4k Smart TV, new furniture, lots of seating and expanding dining table for up to 8+.  Lots of Parking.  2 Queen bedrooms and 2 more beds can be added to one of the common rooms.","The super convenient area is one of the big selling points for this house.<br /><br />On the South side of Western we have in order from East to West:<br />V Salon, All Saints Catholic Church, CVS, Dragon City Restaurant, Torino Pizza & Pasta, Mani de Leo Hair Salon, Fiorello Bakery & Deli, Courtney's Salon, DC's Pizza, Maggie's Sports Bar & Cafe, Roman Jewels, Pixie Hair Salon, Barcelona Restaurant-Wine Bar, KeyBank, CityLine Bar and Grill, Escape Smoke Shop, Best Western Hotel, Casa Real Mexican Restaurant, Days Inn, Dunkin Donuts, Across the Street Pub and Restaurant, Starbucks.<br /><br />On the North side of Western we have in order from East to West:<br />Sunoco Gas, University Plaza (Rite Aid, PizzaHut, DiBella's Subs, Boston Market, Wine & Liquor, Uncommon Grounds Coffee & Bagels, Pet Supplies Plus, Subway, Mobile Gas, Mobile Mart), University of Albany, Miami Sun Tanning.<br /><br />Best Western Hotel and a Days Inn are less than a 7min walk from the house so any additional gu",https://a0.muscache.com/pictures/hosting/Hosting-21449583/original/9c9f89a5-3d43-4b38-ac43-c03ceac5bf61.jpeg,4259750,https://www.airbnb.com/users/show/4259750,Peter,2012-11-27,"Albany, NY","I was born in Poland but grew up in NY and now i'm back in NY after grad school in Europe.  I love sailing, flying gliders, hiking, hammocks, cycling, photography, travel, minimalism, tennis,  podcasts, biohacking and my KJV.  I started traveling airbnb during my time in Europe and now I’m a host in NY! 
Listings:
airbnb.com/h/38eden
airbnb.com/h/55eden
airbnb.com/h/18home
airbnb.com/h/24miller
airbnb.com/h/24eden
airbnb.com/h/433western",within an hour,100%,88%,t,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_x_medium,Pine Hills,8,13,"['email', 'phone']",t,t,Neighborhood highlights,FIFTEENTH WARD,,42.67547,-73.82402,Entire home,Entire home/apt,10,1.0,1 bath,4,5,"[""Wine glasses"", ""Heating"", ""Private entrance"", ""Baby bath - available upon request"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Free parking on premises"", ""Dishwasher"", ""Sound system"", ""Outdoor furniture"", ""Cooking basics"", ""Exterior security cameras on property"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Private backyard"", ""Self check-in"", ""Smart lock"", ""Hammock"", ""Children\u2019s bikes"", ""Baking sheet"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Toaster"", ""BBQ grill"", ""Shampoo"", ""Clothing storage"", ""Body soap"", ""Hangers"", ""Crib"", ""Smoke alarm"", ""Dryer"", ""Changing table - available upon request"", ""First aid kit"", ""Stove"", ""Room-darkening shades"", ""Ceiling fan"", ""Outdoor dining area"", ""Fire extinguisher"", ""Washer \u2013\u00a0In unit"", ""Central air conditioning"", ""Freezer"", ""Bidet"", ""Blender"", ""Barbecue utensils"", ""Iron"", ""Board games"", ""Luggage dropoff allowed"", ""HDTV with Amazon Prime Video, Apple TV, Hulu, Netflix, premium cable, Roku"", ""Hair dryer"", ""Dedicated workspace"", ""Mini fridge"", ""Pack \u2019n play/Travel crib"", ""Private patio or balcony""]",$749.00,4,1125,4,4,1125,1125,4.0,1125.0,,t,30,60,90,365,2025-10-06,9,1,0,87,0,8,5992,2017-12-25,2025-08-05,5.0,5.0,5.0,5.0,4.89,5.0,4.78,,f,8,8,0,0,0.09
21752534,https://www.airbnb.com/rooms/21752534,20251005230129,2025-10-06,city scrape,"NEW LISTING! Modern, completely updated, LOCATION!","Come explore Albany in my newly renovated fully furnished apartment which is conveniently located near hospitals, schools, parks and restaurants.","Neighborhood is one block from Wasington park in a mostly college area. The Park includes basketball,tennis,skate park, jogging path and much more. The apt is also walking distance to hospitals, colleges and bus line. Laundry mat and dry cleaners less then one block away barbershops,restaurants and coffee shop all within walking distance.",https://a0.muscache.com/pictures/19ecf240-ce00-4184-a44a-bcb94e4e63e6.jpg,152762198,https://www.airbnb.com/users/show/152762198,Allen,2017-09-30,"Albany, NY","Hi my name is Allen. I am an Albany native. I enjoy working out, playing basketball and have a passion for good food. I hope anyone staying here will enjoy the space as much as I do. ",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/4b2545af-2a93-4e42-84e9-e95579a9d9c2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4b2545af-2a93-4e42-84e9-e95579a9d9c2.jpg?aki_policy=profile_x_medium,Pine Hills,9,17,"['email', 'phone']",t,t,Neighborhood highlights,TENTH WARD,,42.66045,-73.77833,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,2,"[""Heating"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Essentials"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Ethernet connection"", ""Self check-in"", ""Building staff"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""TV"", ""Toaster"", ""Window AC unit"", ""Shampoo"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Ceiling fan"", ""Coffee"", ""Cleaning available during stay"", ""Freezer"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed""]",$69.00,3,730,3,3,730,730,3.0,730.0,,t,21,48,78,353,2025-10-06,183,11,0,75,21,66,4554,2017-11-27,2025-07-31,4.75,4.85,4.77,4.91,4.98,4.55,4.75,,f,9,9,0,0,1.91
21769213,https://www.airbnb.com/rooms/21769213,20251005230129,2025-10-06,city scrape,Cozy downstairs bedroom in quiet neighborhood!,"Relax in our cozy home on a quiet one-way street. Plenty of free street parking available.<br />With a large dining and living room, fully stocked kitchen, and furnished private room, our home is the perfect affordable stay for working professionals, students, and people in-between housing.<br /><br /><br />Newly furnished and renovated in 2017.<br />Minutes from major universities and hospitals.<br />Entire home is 3 bed 1 bath (you have a private bedroom with door lock).<br />CDTA Bus stop 1 block away.",,https://a0.muscache.com/pictures/35d8c2e8-b809-49ac-b465-20676c347c10.jpg,135717458,https://www.airbnb.com/users/show/135717458,Chad,2017-06-18,"Gloversville, NY","",within an hour,100%,90%,t,https://a0.muscache.com/im/pictures/user/d6bee956-7782-4538-a6a1-ec4d4931841e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d6bee956-7782-4538-a6a1-ec4d4931841e.jpg?aki_policy=profile_x_medium,,13,15,['phone'],t,t,,ELEVENTH WARD,,42.66572,-73.77834,Private room in home,Private room,2,1.0,1 shared bath,1,1,"[""Bathtub"", ""Clothing storage: closet"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Coffee maker: drip coffee maker"", ""Dishwasher"", ""Shared patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Microwave"", ""Kitchen"", ""Wifi"", ""Dining table"", ""Self check-in"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Baking sheet"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Free dryer \u2013 In unit"", ""TV"", ""Toaster"", ""Window AC unit"", ""First aid kit"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Radiant heating"", ""Fire extinguisher"", ""Freezer"", ""Blender"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Shared backyard \u2013 Fully fenced""]",$32.00,18,1125,18,18,1125,1125,18.0,1125.0,,t,18,28,58,310,2025-10-06,34,6,0,55,9,216,6912,2017-12-28,2025-08-30,4.76,4.74,4.65,4.97,4.94,4.59,4.65,,t,3,0,3,0,0.36
21769439,https://www.airbnb.com/rooms/21769439,20251005230129,2025-10-06,city scrape,Cozy upstairs room with (1) walk-in closet,"Relax in our cozy home on a quiet one-way street. Plenty of free street parking available.<br />With a large dining and living room, fully stocked kitchen, and furnished private room, our home is the perfect affordable stay for working professionals, students, and people in-between housing.<br /><br /><br />Newly furnished and renovated in 2017.<br />Minutes from major universities and hospitals.<br />Entire home is 3 bed 1 bath (you have a private bedroom with door lock).<br />CDTA Bus stop 1 block away.",,https://a0.muscache.com/pictures/bc39005d-d904-4452-8b8d-8a541a23e0ce.jpg,135717458,https://www.airbnb.com/users/show/135717458,Chad,2017-06-18,"Gloversville, NY","",within an hour,100%,90%,t,https://a0.muscache.com/im/pictures/user/d6bee956-7782-4538-a6a1-ec4d4931841e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d6bee956-7782-4538-a6a1-ec4d4931841e.jpg?aki_policy=profile_x_medium,,13,15,['phone'],t,t,,ELEVENTH WARD,,42.66703,-73.77842,Private room in home,Private room,1,1.0,1 shared bath,1,1,"[""Bathtub"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Coffee maker: drip coffee maker"", ""Dishwasher"", ""Shared patio or balcony"", ""Outdoor furniture"", ""Clothing storage: walk-in closet"", ""Cooking basics"", ""Essentials"", ""Keypad"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Microwave"", ""Wifi"", ""Dining table"", ""Self check-in"", ""Hammock"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Baking sheet"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Free dryer \u2013 In unit"", ""TV"", ""Toaster"", ""Window AC unit"", ""First aid kit"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Radiant heating"", ""Fire extinguisher"", ""Freezer"", ""Blender"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Shared backyard \u2013 Fully fenced""]",$42.00,20,730,20,20,1125,1125,20.0,1125.0,,t,7,37,67,342,2025-10-06,26,3,0,64,4,120,5040,2017-12-16,2025-01-24,4.77,4.65,4.58,4.96,5.0,4.69,4.73,,t,3,0,3,0,0.27
22398196,https://www.airbnb.com/rooms/22398196,20251005230129,2025-10-05,city scrape,Elegant Guest Suite in our beautiful Victorian!,"This home is a gorgeous 100 year old Victorian  <br />This suite is located on the 2nd floor. All the comforts of home! Tv and mini fridge in room. <br />We supply towels, linens and starter toiletries. <br />A very clean and quiet setting makes  for a comfortable stay here at the Inn.",,https://a0.muscache.com/pictures/miso/Hosting-22398196/original/1e62404f-43f4-4783-9b10-86abefa92140.jpeg,98744672,https://www.airbnb.com/users/show/98744672,Bela,2016-10-08,"Albany, NY","My name is Bela Schuch, I am manager of The Inn at South Lake  here in Albany , we hope you enjoy your stay with us at the Inn Thank you !",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_x_medium,Pine Hills,8,8,"['email', 'phone', 'work_email']",t,t,,NINTH WARD,,42.65501,-73.78122,Private room in home,Private room,2,1.0,1 private bath,1,1,"[""Heating"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""Washer"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Self check-in"", ""TV with standard cable"", ""Cleaning products"", ""Patio or balcony"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Conditioner"", ""Window AC unit"", ""Shampoo"", ""First aid kit"", ""Free parking on premises"", ""Smoke alarm"", ""Hangers"", ""Dryer"", ""Fire extinguisher"", ""Free street parking"", ""Iron"", ""Backyard"", ""Hair dryer"", ""Dedicated workspace""]",$72.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,1,12,42,317,2025-10-05,129,15,1,40,14,90,6480,2018-01-13,2025-09-09,4.91,4.91,4.92,4.98,4.94,4.93,4.84,,f,8,2,6,0,1.37
24606880,https://www.airbnb.com/rooms/24606880,20251005230129,2025-10-06,city scrape,The Western Suite,"Located in a huge Victorian, this beautiful suite comes furnished with a queen size bed, desk, dresser, TV, Wifi,  small fridge and Private bath.<br />We supply the towels, linens and starter toiletries.",,https://a0.muscache.com/pictures/e8183a7b-a392-4be6-b7c0-22a974472edb.jpg,98744672,https://www.airbnb.com/users/show/98744672,Bela,2016-10-08,"Albany, NY","My name is Bela Schuch, I am manager of The Inn at South Lake  here in Albany , we hope you enjoy your stay with us at the Inn Thank you !",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_x_medium,Pine Hills,8,8,"['email', 'phone', 'work_email']",t,t,,NINTH WARD,,42.65431,-73.78178,Private room in guest suite,Private room,2,1.0,1 private bath,1,1,"[""Heating"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Washer"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Self check-in"", ""TV with standard cable"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Window AC unit"", ""Shampoo"", ""Free parking on premises"", ""Smoke alarm"", ""Hangers"", ""Dryer"", ""Stove"", ""Pocket wifi"", ""Fire extinguisher"", ""Free street parking"", ""Iron"", ""Backyard"", ""Hair dryer"", ""Dedicated workspace""]",$72.00,2,730,2,2,730,730,2.0,730.0,,t,12,31,61,323,2025-10-06,54,9,1,58,7,54,3888,2018-10-13,2025-09-20,4.93,4.96,4.93,4.94,4.96,4.94,4.83,,f,8,2,6,0,0.64
25549565,https://www.airbnb.com/rooms/25549565,20251005230129,2025-10-06,city scrape,Quiet and Pretty in the Heart of Center Square,"Private entrance to sunny garden level suite in a historic yet completely renovated 1858 town house. Clean, tidy, well appointed, on pretty cobblestone street between Empire State Plaza (one block away) and Washington Park (two block away), walkable to everything on Lark and Downtown. Private entrance and back exit to secbathroom, living room, bedroom, classic, fragrance free, restful, happy vibes. Access to a secluded private garden/patio. We have hosted more than 3,000 guests since 2","This neighorhood is a village of all kinds of restaurants, bars, coffee shops, boutiques and night life. It's 2 blocks from Washington Park - great for a jog - and 2 blocks from the State Capitol, Legislative Office Building and Empire State Plaza. Charming and colorful - but our street is quiet.",https://a0.muscache.com/pictures/miso/Hosting-25549565/original/890ed28f-8af3-4589-9a3a-f2dfb4920e43.jpeg,9666970,https://www.airbnb.com/users/show/9666970,Janet,2013-10-27,"Albany, NY","Born in Philly, long-term expat in China, serious caffeine addict, now settled in the prettiest, most convenient neighborhood in the New York's kinda-sleepy capital.   My favorite kind of travel is the kind where I see my old friends, meet new ones, and wander around listening to the locals talking. 
",within a few hours,100%,76%,f,https://a0.muscache.com/im/pictures/user/34f7723c-1cdd-4983-935a-152902bc4613.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/34f7723c-1cdd-4983-935a-152902bc4613.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65345,-73.7645,Entire guest suite,Entire home/apt,2,1.0,1 bath,1,3,"[""Wine glasses"", ""Private entrance"", ""Coffee maker"", ""Clothing storage: closet"", ""Private backyard \u2013 Not fully fenced"", ""Dishes and silverware"", ""Portable fans"", ""Kitchenette"", ""Outdoor furniture"", ""Essentials"", ""Lockbox"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Extra pillows and blankets"", ""Wifi"", ""Microwave"", ""Self check-in"", ""Central heating"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Conditioner"", ""Laundromat nearby"", ""Window AC unit"", ""Shampoo"", ""Smoke alarm"", ""Hangers"", ""Dr. Bronner body soap"", ""32 inch HDTV with HBO Max, Roku, standard cable, Hulu, Amazon Prime Video, Netflix"", ""AC - split type ductless system"", ""Room-darkening shades"", ""Outdoor dining area"", ""Fire extinguisher"", ""Coffee"", ""Paid parking lot off premises"", ""Free street parking"", ""Iron"", ""Mini fridge"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Private patio or balcony""]",$121.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,11,40,70,159,2025-10-06,962,96,2,67,133,255,30855,2018-06-09,2025-09-17,4.9,4.94,4.9,4.97,4.95,4.92,4.92,,f,1,1,0,0,10.78
26139592,https://www.airbnb.com/rooms/26139592,20251005230129,2025-10-05,city scrape,Garden Apartment in Ctr. Square: Monthly Discounts,"Comfortable and quiet, one-bedroom garden apartment with full kitchen in the heart of the charming Center Square neighborhood.","We are in the heart of historic Center Square, the jewel of downtown Albany. We are just one block from the great restaurants such as McGuires, excellent coffee shops such as The Daily Grind, exceptional pizza at Soho Pizza, an organic grocery: Lark Natural Foods, and many bars and music venues such as Savoy and the Armory.",https://a0.muscache.com/pictures/df190ecb-0d41-4034-8ff4-8ea572884489.jpg,6833937,https://www.airbnb.com/users/show/6833937,Farah,2013-06-10,"Albany, NY","I enjoy yoga, cooking and nutrition, design, and the natural world. I am a therapist and public health professional and have spent a lot of time living and working abroad. ",N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/4c049722-5d00-45c7-a8c4-2c02649e2e5f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4c049722-5d00-45c7-a8c4-2c02649e2e5f.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65403,-73.76325,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,1,"[""Air conditioning"", ""Heating"", ""Private entrance"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Dishwasher"", ""Washer"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Exterior security cameras on property"", ""Hot water"", ""Microwave"", ""Shower gel"", ""Kitchen"", ""Wifi"", ""Self check-in"", ""Cleaning products"", ""Carbon monoxide alarm"", ""TV"", ""Conditioner"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Smoke alarm"", ""Hangers"", ""Free parking on premises"", ""Dryer"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace""]",$81.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,21,51,81,346,2025-10-05,154,32,2,79,22,192,15552,2018-08-05,2025-09-22,4.85,4.93,4.83,4.97,4.99,4.95,4.81,,f,1,1,0,0,1.76
27670660,https://www.airbnb.com/rooms/27670660,20251005230129,2025-10-05,city scrape,The Rock & Roll Suite,"ThRock&Roll Suite is located on the second floor of this huge Victorian on South Lake Ave . Features a Queen size bed , Full private bath , Walking distance to Albany Med","Here is a list of the top 10 things to do in Albany , All within minutes from The Blair Suite   ,New york State Museum,USS Slater DE-766,Washington Park,Governor Nelson A. Rockefeller Empire State Plaza,Times Union Center,Albany Institute of History & Art,New York State Capitol,Dutch Apple Cruises,Palace Theatre,Albany Visitors Center,",https://a0.muscache.com/pictures/miso/Hosting-27670660/original/bbbe4c95-6491-45a7-986c-a7a75c3ddda7.jpeg,98744672,https://www.airbnb.com/users/show/98744672,Bela,2016-10-08,"Albany, NY","My name is Bela Schuch, I am manager of The Inn at South Lake  here in Albany , we hope you enjoy your stay with us at the Inn Thank you !",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_x_medium,Pine Hills,8,8,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,NINTH WARD,,42.6543083190918,-73.78177642822266,Private room in rental unit,Private room,2,1.0,1 private bath,1,1,"[""Wine glasses"", ""Coffee maker"", ""Oven"", ""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Refrigerator"", ""Outdoor furniture"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Dining table"", ""Self check-in"", ""TV with standard cable"", ""Cleaning products"", ""Patio or balcony"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Paid washer"", ""Toaster"", ""Window AC unit"", ""First aid kit"", ""Free parking on premises"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Radiant heating"", ""Outdoor dining area"", ""Fire extinguisher"", ""Freezer"", ""Free street parking"", ""Iron"", ""Backyard"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Dedicated workspace"", ""Mini fridge""]",$76.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,11,41,71,346,2025-10-05,30,6,0,69,5,36,2736,2019-02-25,2025-08-19,5.0,5.0,4.93,5.0,5.0,4.93,4.93,,f,8,2,6,0,0.37
